Date,SP500,Gold
03/01/1929,25.43,20.63
04/01/1929,25.28,20.63
05/01/1929,25.66,20.63
06/01/1929,26.15,20.63
07/01/1929,28.48,20.63
08/01/1929,30.1,20.63
09/01/1929,31.3,20.63
10/01/1929,27.99,20.63
11/01/1929,20.58,20.63
12/01/1929,21.4,20.63
01/01/1930,21.71,20.65
02/01/1930,23.07,20.65
03/01/1930,23.94,20.65
04/01/1930,25.46,20.65
05/01/1930,23.94,20.65
06/01/1930,21.52,20.65
07/01/1930,21.06,20.65
08/01/1930,20.79,20.65
09/01/1930,20.78,20.65
10/01/1930,17.92,20.65
11/01/1930,16.62,20.65
12/01/1930,15.51,20.65
01/01/1931,15.98,17.06
02/01/1931,17.2,17.06
03/01/1931,17.53,17.06
04/01/1931,15.86,17.06
05/01/1931,14.33,17.06
06/01/1931,13.87,17.06
07/01/1931,14.33,17.06
08/01/1931,13.9,17.06
09/01/1931,11.83,17.06
10/01/1931,10.25,17.06
11/01/1931,10.39,17.06
12/01/1931,8.44,17.06
01/01/1932,8.3,20.69
02/01/1932,8.23,20.69
03/01/1932,8.26,20.69
04/01/1932,6.28,20.69
05/01/1932,5.51,20.69
06/01/1932,4.77,20.69
07/01/1932,5.01,20.69
08/01/1932,7.53,20.69
09/01/1932,8.26,20.69
10/01/1932,7.12,20.69
11/01/1932,7.05,20.69
12/01/1932,6.82,20.69
01/01/1933,7.09,26.33
02/01/1933,6.25,26.33
03/01/1933,6.23,26.33
04/01/1933,6.89,26.33
05/01/1933,8.87,26.33
06/01/1933,10.39,26.33
07/01/1933,11.23,26.33
08/01/1933,10.67,26.33
09/01/1933,10.58,26.33
10/01/1933,9.55,26.33
11/01/1933,9.78,26.33
12/01/1933,9.97,26.33
01/01/1934,10.54,34.69
02/01/1934,11.32,34.69
03/01/1934,10.74,34.69
04/01/1934,10.92,34.69
05/01/1934,9.81,34.69
06/01/1934,9.94,34.69
07/01/1934,9.47,34.69
08/01/1934,9.1,34.69
09/01/1934,8.88,34.69
10/01/1934,8.95,34.69
11/01/1934,9.2,34.69
12/01/1934,9.26,34.69
01/01/1935,9.26,34.84
02/01/1935,8.98,34.84
03/01/1935,8.41,34.84
04/01/1935,9.04,34.84
05/01/1935,9.75,34.84
06/01/1935,10.12,34.84
07/01/1935,10.65,34.84
08/01/1935,11.37,34.84
09/01/1935,11.61,34.84
10/01/1935,11.92,34.84
11/01/1935,13.04,34.84
12/01/1935,13.04,34.84
01/01/1936,13.76,34.87
02/01/1936,14.55,34.87
03/01/1936,14.86,34.87
04/01/1936,14.88,34.87
05/01/1936,14.09,34.87
06/01/1936,14.69,34.87
07/01/1936,15.56,34.87
08/01/1936,15.87,34.87
09/01/1936,16.05,34.87
10/01/1936,16.89,34.87
11/01/1936,17.36,34.87
12/01/1936,17.06,34.87
01/01/1937,17.59,34.79
02/01/1937,18.11,34.79
03/01/1937,18.09,34.79
04/01/1937,17.01,34.79
05/01/1937,16.25,34.79
06/01/1937,15.64,34.79
07/01/1937,16.57,34.79
08/01/1937,16.74,34.79
09/01/1937,14.37,34.79
10/01/1937,12.28,34.79
11/01/1937,11.2,34.79
12/01/1937,11.02,34.79
01/01/1938,11.31,34.85
02/01/1938,11.04,34.85
03/01/1938,10.31,34.85
04/01/1938,9.89,34.85
05/01/1938,9.98,34.85
06/01/1938,10.21,34.85
07/01/1938,12.24,34.85
08/01/1938,12.31,34.85
09/01/1938,11.75,34.85
10/01/1938,13.06,34.85
11/01/1938,13.07,34.85
12/01/1938,12.69,34.85
01/01/1939,12.5,34.42
02/01/1939,12.4,34.42
03/01/1939,12.39,34.42
04/01/1939,10.83,34.42
05/01/1939,11.23,34.42
06/01/1939,11.43,34.42
07/01/1939,11.71,34.42
08/01/1939,11.54,34.42
09/01/1939,12.77,34.42
10/01/1939,12.9,34.42
11/01/1939,12.67,34.42
12/01/1939,12.37,34.42
01/01/1940,12.3,33.85
02/01/1940,12.22,33.85
03/01/1940,12.15,33.85
04/01/1940,12.27,33.85
05/01/1940,10.58,33.85
06/01/1940,9.67,33.85
07/01/1940,9.99,33.85
08/01/1940,10.2,33.85
09/01/1940,10.63,33.85
10/01/1940,10.73,33.85
11/01/1940,10.98,33.85
12/01/1940,10.53,33.85
01/01/1941,10.55,33.85
02/01/1941,9.89,33.85
03/01/1941,9.95,33.85
04/01/1941,9.64,33.85
05/01/1941,9.43,33.85
06/01/1941,9.76,33.85
07/01/1941,10.26,33.85
08/01/1941,10.21,33.85
09/01/1941,10.24,33.85
10/01/1941,9.83,33.85
11/01/1941,9.37,33.85
12/01/1941,8.76,33.85
01/01/1942,8.93,33.85
02/01/1942,8.65,33.85
03/01/1942,8.18,33.85
04/01/1942,7.84,33.85
05/01/1942,7.93,33.85
06/01/1942,8.33,33.85
07/01/1942,8.64,33.85
08/01/1942,8.59,33.85
09/01/1942,8.68,33.85
10/01/1942,9.32,33.85
11/01/1942,9.47,33.85
12/01/1942,9.52,33.85
01/01/1943,10.09,33.85
02/01/1943,10.69,33.85
03/01/1943,11.07,33.85
04/01/1943,11.44,33.85
05/01/1943,11.89,33.85
06/01/1943,12.1,33.85
07/01/1943,12.35,33.85
08/01/1943,11.74,33.85
09/01/1943,11.99,33.85
10/01/1943,11.88,33.85
11/01/1943,11.33,33.85
12/01/1943,11.48,33.85
01/01/1944,11.85,33.85
02/01/1944,11.77,33.85
03/01/1944,12.1,33.85
04/01/1944,11.89,33.85
05/01/1944,12.1,33.85
06/01/1944,12.67,33.85
07/01/1944,13.0,33.85
08/01/1944,12.81,33.85
09/01/1944,12.6,33.85
10/01/1944,12.91,33.85
11/01/1944,12.82,33.85
12/01/1944,13.1,33.85
01/01/1945,13.49,34.71
02/01/1945,13.94,34.71
03/01/1945,13.93,34.71
04/01/1945,14.28,34.71
05/01/1945,14.82,34.71
06/01/1945,15.09,34.71
07/01/1945,14.78,34.71
08/01/1945,14.83,34.71
09/01/1945,15.84,34.71
10/01/1945,16.5,34.71
11/01/1945,17.04,34.71
12/01/1945,17.33,34.71
01/01/1946,18.02,34.71
02/01/1946,18.07,34.71
03/01/1946,17.53,34.71
04/01/1946,18.66,34.71
05/01/1946,18.7,34.71
06/01/1946,18.58,34.71
07/01/1946,18.05,34.71
08/01/1946,17.7,34.71
09/01/1946,15.09,34.71
10/01/1946,14.75,34.71
11/01/1946,14.69,34.71
12/01/1946,15.13,34.71
01/01/1947,15.21,34.71
02/01/1947,15.8,34.71
03/01/1947,15.16,34.71
04/01/1947,14.6,34.71
05/01/1947,14.34,34.71
06/01/1947,14.84,34.71
07/01/1947,15.77,34.71
08/01/1947,15.46,34.71
09/01/1947,15.06,34.71
10/01/1947,15.45,34.71
11/01/1947,15.27,34.71
12/01/1947,15.03,34.71
01/01/1948,14.83,34.71
02/01/1948,14.1,34.71
03/01/1948,14.3,34.71
04/01/1948,15.4,34.71
05/01/1948,16.15,34.71
06/01/1948,16.82,34.71
